,Area,Item,Year,Unit,Value,Element,Flag
1,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2001,%,98,Value,F
2,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2002,%,97,Value,F
3,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2003,%,98,Value,F
4,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2004,%,99,Value,F
5,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2005,%,100,Value,F
6,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2006,%,101,Value,F
7,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2007,%,103,Value,F
8,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2008,%,106,Value,F
9,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2009,%,108,Value,F
10,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2010,%,109,Value,F
11,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2011,%,109,Value,F
12,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2012,%,109,Value,F
13,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2013,%,109,Value,F
14,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2014,%,109,Value,F
15,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2015,%,109,Value,F
16,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2016,%,110,Value,F
17,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2017,%,112,Value,F
18,Senegal,Average dietary energy supply adequacy (percent) (3-year average),2018,%,114,Value,F
19,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2001,I$ per person,112,Value,F
20,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2002,I$ per person,95,Value,F
21,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2003,I$ per person,88,Value,F
22,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2004,I$ per person,84,Value,F
23,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2005,I$ per person,96,Value,F
24,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2006,I$ per person,94,Value,F
