,date,value,country
0,2000-03-05,38.196999999999996,Senegal
1,2000-03-13,43.074,Senegal
2,2000-03-21,43.452,Senegal
3,2000-03-29,43.028999999999996,Senegal
4,2000-04-06,41.667,Senegal
5,2000-04-14,44.326,Senegal
6,2000-04-22,45.446000000000005,Senegal
7,2000-04-30,44.163999999999994,Senegal
8,2000-05-08,43.263999999999996,Senegal
9,2000-05-16,45.081,Senegal
10,2000-05-24,37.368,Senegal
11,2000-06-01,39.098,Senegal
12,2000-06-09,36.453,Senegal
13,2000-06-17,33.211,Senegal
14,2000-06-25,32.664,Senegal
15,2000-07-03,31.467,Senegal
16,2000-07-11,31.234,Senegal
17,2000-07-19,31.108,Senegal
18,2000-07-27,26.665,Senegal
19,2000-08-04,27.779,Senegal
20,2000-08-12,22.750999999999998,Senegal
21,2000-08-20,26.039,Senegal
22,2000-08-28,29.548000000000002,Senegal
23,2000-09-05,28.638,Senegal
24,2000-09-13,27.458000000000002,Senegal
25,2000-09-21,27.603,Senegal
26,2000-09-29,28.951,Senegal
27,2000-10-07,34.009,Senegal
28,2000-10-15,29.668000000000003,Senegal
29,2000-10-23,32.321999999999996,Senegal
30,2000-10-31,33.195,Senegal
31,2000-11-08,33.436,Senegal
32,2000-11-16,36.168,Senegal
33,2000-11-24,36.126999999999995,Senegal
34,2000-12-02,37.621,Senegal
35,2000-12-10,35.435,Senegal
36,2000-12-18,32.611,Senegal
37,2000-12-26,36.361,Senegal
38,2001-01-01,38.198,Senegal
39,2001-01-09,37.736,Senegal
40,2001-01-17,37.825,Senegal
41,2001-01-25,37.384,Senegal
42,2001-02-02,35.948,Senegal
43,2001-02-10,34.924,Senegal
44,2001-02-18,41.626999999999995,Senegal
45,2001-02-26,43.707,Senegal
46,2001-03-06,44.762,Senegal
47,2001-03-14,43.607,Senegal
48,2001-03-22,44.068000000000005,Senegal
49,2001-03-30,42.244,Senegal
50,2001-04-07,41.605,Senegal
51,2001-04-15,42.078,Senegal
52,2001-04-23,46.567,Senegal
53,2001-05-01,44.655,Senegal
54,2001-05-09,45.661,Senegal
55,2001-05-17,45.162,Senegal
56,2001-05-25,43.281000000000006,Senegal
57,2001-06-02,42.31100000000001,Senegal
58,2001-06-10,38.982,Senegal
59,2001-06-26,,Senegal
60,2001-07-04,32.994,Senegal
61,2001-07-12,30.0,Senegal
62,2001-07-20,28.302,Senegal
63,2001-07-28,28.81,Senegal
64,2001-08-05,28.908,Senegal
65,2001-08-13,28.101,Senegal
66,2001-08-21,28.825,Senegal
67,2001-08-29,27.175,Senegal
68,2001-09-06,27.805,Senegal
69,2001-09-14,25.998,Senegal
70,2001-09-22,27.982,Senegal
71,2001-09-30,30.664,Senegal
72,2001-10-08,31.243000000000002,Senegal
73,2001-10-16,35.759,Senegal
74,2001-10-24,36.117,Senegal
75,2001-11-01,37.846,Senegal
76,2001-11-09,37.966,Senegal
77,2001-11-17,37.324,Senegal
78,2001-11-25,34.523,Senegal
79,2001-12-03,35.652,Senegal
80,2001-12-11,36.732,Senegal
81,2001-12-19,38.549,Senegal
82,2001-12-27,38.789,Senegal
83,2002-01-01,35.107,Senegal
84,2002-01-09,31.601999999999997,Senegal
85,2002-01-17,34.959,Senegal
86,2002-01-25,36.101,Senegal
87,2002-02-02,36.556999999999995,Senegal
88,2002-02-10,39.403,Senegal
89,2002-02-18,37.856,Senegal
90,2002-02-26,41.01,Senegal
91,2002-03-06,43.466,Senegal
92,2002-03-14,41.195,Senegal
93,2002-03-22,39.26,Senegal
94,2002-03-30,42.073,Senegal
95,2002-04-07,42.482,Senegal
96,2002-04-15,47.23,Senegal
97,2002-04-23,40.885,Senegal
98,2002-05-01,43.244,Senegal
99,2002-05-09,45.913000000000004,Senegal
100,2002-05-17,42.41,Senegal
101,2002-05-25,44.24,Senegal
102,2002-06-02,39.325,Senegal
103,2002-06-10,35.585,Senegal
104,2002-06-18,31.32,Senegal
105,2002-06-26,31.274,Senegal
106,2002-07-04,34.264,Senegal
107,2002-07-12,34.34,Senegal
108,2002-07-20,30.699,Senegal
109,2002-07-28,35.579,Senegal
110,2002-08-05,30.951,Senegal
