,year,event_date,event_type,actor1,country,latitude,longitude,fatalities,location,data,month,iso
0,2019,27 July 2019,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,Nigeria,12.493,13.2091,23,Gajiram,2019-07-27,7,NGA
1,2019,27 July 2019,Strategic developments,IM: Islamic Movement,Nigeria,9.0833,7.5333,0,Abuja,2019-07-27,7,NGA
2,2019,26 July 2019,Battles,Fulani Ethnic Militia (Nigeria),Nigeria,12.6324,7.2635,0,Baure,2019-07-26,7,NGA
3,2019,26 July 2019,Battles,Fulani Ethnic Militia (Nigeria),Nigeria,12.9604,8.3621,0,Safana,2019-07-26,7,NGA
4,2019,25 July 2019,Battles,Fulani Ethnic Militia (Mali),Mali,14.5227,-3.0789,0,Siguimara,2019-07-25,7,MLI
5,2019,25 July 2019,Battles,Arab Ethnic Militia (Mali),Mali,16.3287,-4.9591,5,Lerneb,2019-07-25,7,MLI
6,2019,25 July 2019,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,Nigeria,11.7606,13.2683,2,Dalori,2019-07-25,7,NGA
7,2019,25 July 2019,Protests,Protesters (Nigeria),Nigeria,6.7421,6.138999999999999,0,Ekpoma,2019-07-25,7,NGA
8,2019,25 July 2019,Protests,Protesters (Togo),Nigeria,6.4531,3.3958,0,Lagos,2019-07-25,7,NGA
9,2019,25 July 2019,Riots,Rioters (Nigeria),Nigeria,7.7667,4.5667,0,Oshogbo,2019-07-25,7,NGA
10,2019,25 July 2019,Protests,Protesters (Nigeria),Nigeria,7.7411,8.5121,0,Makurdi,2019-07-25,7,NGA
11,2019,25 July 2019,Protests,Protesters (Nigeria),Nigeria,4.9667,8.3333,0,Calabar,2019-07-25,7,NGA
12,2019,25 July 2019,Battles,Ogoga Communal Militia (Nigeria),Nigeria,7.4913,5.2323,1,Ikere,2019-07-25,7,NGA
13,2019,25 July 2019,Protests,Protesters (Nigeria),Nigeria,10.5222,7.4383,0,Kaduna,2019-07-25,7,NGA
14,2019,24 July 2019,Violence against civilians,Fulani Ethnic Militia (Nigeria),Nigeria,8.95,11.35,10,Kona,2019-07-24,7,NGA
15,2019,24 July 2019,Riots,Rioters (Nigeria),Nigeria,6.8161,3.9159,0,Ijebu-Ode,2019-07-24,7,NGA
16,2019,24 July 2019,Protests,Protesters (Nigeria),Nigeria,6.4531,3.3958,0,Lagos,2019-07-24,7,NGA
17,2019,24 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,10.4542,7.6368,1,Kujama,2019-07-24,7,NGA
18,2019,23 July 2019,Strategic developments,Military Forces of Mali (2013-),Mali,14.450999999999999,-2.2442,0,Dinangorou,2019-07-23,7,MLI
19,2019,23 July 2019,Violence against civilians,Fulani Ethnic Militia (Mali),Mali,14.6527,-1.7781,1,Niangassagou,2019-07-23,7,MLI
20,2019,23 July 2019,Riots,Rioters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-23,7,NGA
21,2019,23 July 2019,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,Nigeria,12.024000000000001,13.9165,1,Dikwa,2019-07-23,7,NGA
22,2019,23 July 2019,Protests,Protesters (Nigeria),Nigeria,6.2006,6.7339,0,Asaba,2019-07-23,7,NGA
23,2019,23 July 2019,Strategic developments,Military Forces of Nigeria (2015-),Nigeria,4.8672,5.8019,0,Azagbene-Zion,2019-07-23,7,NGA
24,2019,23 July 2019,Strategic developments,Unidentified Armed Group (Nigeria),Nigeria,12.1628,6.6614,0,Gusau,2019-07-23,7,NGA
25,2019,23 July 2019,Protests,Protesters (Nigeria),Nigeria,5.5167,5.75,0,Warri,2019-07-23,7,NGA
26,2019,22 July 2019,Battles,JNIM: Group for Support of Islam and Muslims,Mali,16.2717,-0.0447,2,Gao,2019-07-22,7,MLI
27,2019,22 July 2019,Protests,Protesters (Mali),Mali,16.955,-0.3486,0,Bourem,2019-07-22,7,MLI
28,2019,22 July 2019,Violence against civilians,Fulani Ethnic Militia (Mali),Mali,15.11,-1.735,0,Douna,2019-07-22,7,MLI
