,id,Concentration,pasture_availability,water_availability,water_type,lat,lon
0,0,low,very insufficient,insufficient,well,-0.09929972135918627,12.450800061654757
1,1,low,very insufficient,insufficient,well,-0.03610088212869783,12.548200205965172
2,2,low,very insufficient,insufficient,drilling,0.16680159310624998,12.432798670701995
3,3,low,very insufficient,insufficient,well,-0.1340985459802779,12.983502109903613
4,4,low,very insufficient,insufficient,well,0.16630217378826406,13.02860145795817
5,5,low,insufficient,insufficient,drilling,-0.04570132669676679,13.532100853408007
6,6,low,insufficient,insufficient,drilling,0.3163018741251299,13.078101938752473
7,7,low,very insufficient,average,drilling,-0.2093012852466426,13.26070212689108
8,8,average,insufficient,average,drilling,-0.31560179525973897,13.064898540533221
9,9,low,very insufficient,insufficient,drilling,2.0528006791664515,12.666299497365687
10,10,low,insufficient,insufficient,well,1.7214002888743538,12.126498560239744
11,11,average,insufficient,insufficient,well,1.9184702599313943,11.8398809218274
12,12,low,very insufficient,insufficient,well,-15.967452271050634,15.925269175085036
13,13,low,very insufficient,very insufficient,well,-13.655930089662206,15.123950879376602
14,14,average,average,average,well,0.19900076181318266,12.783899369448216
15,15,low,insufficient,insufficient,well,0.0016498673897749748,12.928936090312595
16,16,very strong,very insufficient,insufficient,well,0.2051989122774724,13.256100334603925
17,17,average,average,average,drilling,-0.13339846711488693,12.782900530812244
18,18,average,average,average,drilling,0.016899992992559874,12.733899469335928
19,19,average,average,average,drilling,1.9391872434257045,12.485152976170507
20,20,average,average,average,drilling,2.015821354130225,12.611840496199957
21,21,average,average,average,drilling,1.787898862884392,12.073600244442716
22,22,average,average,average,drilling,2.11680215658656,12.112198223161345
23,23,average,insufficient,insufficient,well,1.661389706897079,12.317058243758753
24,24,average,insufficient,insufficient,well,1.5115995843097252,12.475499022389796
25,25,average,insufficient,insufficient,well,1.3184001129670757,12.403899236774617
26,26,average,insufficient,insufficient,well,1.7683992139776734,11.728002076396447
27,27,average,very insufficient,insufficient,well,1.6706022096734985,11.631199451627195
28,28,average,very insufficient,insufficient,well,1.7001214586473101,11.860000385780552
29,29,average,very insufficient,insufficient,well,1.5706782141668294,11.963808258304772
30,30,strong,average,Suffisante,drilling,1.380698213784768,11.943002092789392
31,31,strong,average,Suffisante,drilling,1.781129947485261,11.87056845527722
32,32,strong,average,Suffisante,drilling,1.7428396467393212,11.799329856847367
33,33,low,average,Suffisante,ponds,1.8700979317036133,11.875598321265507
34,34,very strong,insufficient,Suffisante,ponds,0.6781757610164767,15.130157948042998
35,35,average,average,average,drilling,0.5702253836136055,15.670663423135387
36,36,strong,average,average,drilling,0.7022192338966567,14.968479862047156
37,37,average,insufficient,very insufficient,drilling,0.7213041864054053,15.181629351502925
38,38,average,average,average,ponds,0.7806146895172887,15.533942925735678
39,39,strong,very insufficient,very insufficient,ponds,0.29208895540491875,15.225560415081468
40,40,average,insufficient,insufficient,rivers/lakes,0.8883331936653811,15.582217153740284
41,41,low,insufficient,insufficient,ponds,0.5224104430175053,15.295951784311173
42,42,low,insufficient,Suffisante,drilling,-0.29640090612360104,16.879998383436227
43,43,low,very insufficient,average,drilling,0.0800007319998725,17.35999831633441
44,44,low,very insufficient,Suffisante,drilling,0.3141659647205294,17.820275645273203
45,45,low,Suffisante,Suffisante,drilling,-0.5151956175130299,16.977434200555074
46,46,low,Suffisante,Suffisante,drilling,-0.5823541384789781,16.918837153611733
47,47,average,insufficient,very insufficient,drilling,-1.005727947099451,16.972774439954218
48,48,very weak/absence,very insufficient,average,drilling,-1.0667373677126974,17.037547341856573
49,49,strong,very insufficient,average,drilling,-1.5350455376487435,17.067369809702026
50,50,low,very insufficient,very insufficient,drilling,-1.2515358926706548,17.17519979137645
51,51,strong,Suffisante,Suffisante,drilling,0.23584185471675245,16.301318544225285
52,52,low,insufficient,Suffisante,rivers/lakes,0.10388813634318207,16.348611769998136
53,53,low,very insufficient,Suffisante,drilling,-0.23109291209483265,15.55342919733924
54,54,average,average,Suffisante,rivers/lakes,-0.181672695119492,16.172566460408092
55,55,average,average,Suffisante,rivers/lakes,0.12726274406534538,15.975050579245709
56,56,very weak/absence,very insufficient,Suffisante,rivers/lakes,0.06822424611772193,16.034490396288138
57,57,average,insufficient,Suffisante,drilling,-0.0944928104235716,16.250177114243318
58,58,average,very insufficient,Suffisante,drilling,0.2954154447907895,16.880814398929004
59,59,very weak/absence,Suffisante,insufficient,drilling,0.070814983829774,16.15151504433478
60,60,low,insufficient,insufficient,drilling,-0.7649587857186404,16.068758587883874
61,61,low,insufficient,insufficient,ponds,0.4122840243005525,16.66201076933747
62,62,average,average,average,rivers/lakes,-0.16552183110391094,16.004667928442693
63,63,strong,insufficient,average,rivers/lakes,12.730202874562623,13.625345115536616
64,64,average,average,average,rivers/lakes,6.772219593011447,13.297734961139946
65,65,average,insufficient,average,rivers/lakes,7.606722518759629,14.21318394831133
66,66,strong,average,average,ponds,6.250125746168737,15.463564933809142
67,67,strong,average,average,ponds,6.208018454921048,14.328224296389182
68,68,strong,average,average,ponds,3.651459752443654,15.098868435950966
69,69,strong,average,average,well,1.7996575123623282,15.008246125241785
70,70,strong,insufficient,insufficient,ponds,-15.113677110549462,13.989894463060029
71,71,strong,insufficient,insufficient,ponds,-16.046507673627175,15.041961388306888
72,72,average,average,average,ponds,-15.716288945114243,15.047816187990065
73,73,average,average,average,ponds,-14.80863446658428,15.834767260104305
74,74,average,average,average,rivers/lakes,-15.058584917034135,15.856995878855727
75,75,average,average,average,rivers/lakes,-15.478418199418172,15.349385192234607
76,76,average,average,average,rivers/lakes,-15.835404911554935,15.579773566362993
77,77,average,insufficient,average,rivers/lakes,-12.962236656979732,15.284108411913214
78,78,average,average,average,rivers/lakes,-13.388013921068012,15.73780410769712
79,79,strong,average,insufficient,ponds,-14.463887986839225,15.269036650352573
